SizeRank,StateName,Avg_House_Price,year,month,import_of_goods,export_of_goods,gdp_of_goods,Real_PerCap,house_ownership,PPI_Lumber_of_goods,CPI_of_goods,NASDAQ_Index,Fed_Interest_Rate,PPI_ALL_Index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,MORTGAGE,population
41.0,NH,254042.0,2008,2.0,896.6,276.1,72142.1,48279.0,75.0,161.9,212.687,2325.8255,2.98,182.7,0.237,0.08,0.106,0.324,0.129,0.124,5.9175,1315906
10.0,NJ,377510.0,2008,2.0,10540.5,2867.7,578686.9,53849.0,67.3,161.9,212.687,2325.8255,2.98,182.7,0.252,0.085,0.11,0.311,0.113,0.129,5.9175,8711090
35.0,NM,198026.0,2008,2.0,144.8,234.1,87745.8,39593.0,70.4,161.9,212.687,2325.8255,2.98,182.7,0.271,0.097,0.116,0.27,0.115,0.132,5.9175,2010662
34.0,NV,289482.0,2008,2.0,424.9,492.3,155910.3,42848.0,63.6,161.9,212.687,2325.8255,2.98,182.7,0.27,0.085,0.128,0.288,0.113,0.115,5.9175,2653630
2.0,NY,288912.0,2008,2.0,10063.3,7188.9,1338711.4,48246.0,55.0,161.9,212.687,2325.8255,2.98,182.7,0.243,0.095,0.116,0.299,0.116,0.131,5.9175,19212436
6.0,OH,129860.0,2008,2.0,4687.9,3413.7,588461.0,44451.0,70.8,161.9,212.687,2325.8255,2.98,182.7,0.254,0.087,0.114,0.292,0.119,0.134,5.9175,11515391
27.0,OK,104774.0,2008,2.0,746.9,355.3,154733.5,49104.0,70.4,161.9,212.687,2325.8255,2.98,182.7,0.268,0.095,0.12,0.27,0.115,0.133,5.9175,3668976
26.0,OR,284459.0,2008,2.0,1425.2,1524.3,185597.6,42239.0,66.2,161.9,212.687,2325.8255,2.98,182.7,0.243,0.09,0.124,0.285,0.126,0.132,5.9175,3768748
5.0,PA,177520.0,2008,2.0,6102.7,2552.8,660225.1,46902.0,72.6,161.9,212.687,2325.8255,2.98,182.7,0.238,0.086,0.105,0.299,0.123,0.149,5.9175,12612285
42.0,RI,298769.0,2008,2.0,472.4,164.8,55482.9,44835.0,64.5,161.9,212.687,2325.8255,2.98,182.7,0.231,0.098,0.107,0.307,0.119,0.139,5.9175,1055003
23.0,SC,167288.0,2008,2.0,2278.3,1578.7,194226.9,40425.0,73.9,161.9,212.687,2325.8255,2.98,182.7,0.256,0.089,0.111,0.286,0.125,0.133,5.9175,4528996
16.0,TN,145238.0,2008,2.0,4328.3,1877.4,300121.1,42800.0,71.7,161.9,212.687,2325.8255,2.98,182.7,0.251,0.086,0.119,0.294,0.121,0.129,5.9175,6247411
1.0,TX,142690.0,2008,2.0,20669.8,15527.2,1284436.7,46111.0,65.5,161.9,212.687,2325.8255,2.98,182.7,0.296,0.097,0.128,0.281,0.099,0.1,5.9175,24309039
33.0,UT,257781.0,2008,2.0,461.7,894.4,133257.1,39101.0,76.2,161.9,212.687,2325.8255,2.98,182.7,0.329,0.123,0.141,0.235,0.083,0.089,5.9175,2663029
11.0,VA,276395.0,2008,2.0,1796.2,1393.6,459850.5,49384.0,70.6,161.9,212.687,2325.8255,2.98,182.7,0.255,0.089,0.114,0.302,0.118,0.122,5.9175,7833496
48.0,VT,238231.0,2008,2.0,305.5,255.3,30222.3,45363.0,72.8,161.9,212.687,2325.8255,2.98,182.7,0.222,0.084,0.102,0.319,0.135,0.139,5.9175,624151
